policy_id,account_id,producer_id,policy_number,product_code,policy_status,effective_date,expiration_date,cancellation_date,cancellation_reason,updated_timestamp
1,1,1,POL100001,AUTO,ACTIVE,2023-01-02,2024-01-02,,,2024-01-02 10:00:00
2,2,2,POL100002,HOME,EXPIRED,2023-01-03,2024-01-03,,,2024-01-03 10:00:00
3,3,3,POL100003,COMM,CANCELLED,2023-01-04,2024-01-04,2023-07-03,Underwriting Decision,2024-01-04 10:00:00
4,4,4,POL100004,FIRE,ACTIVE,2023-01-05,2024-01-05,,,2024-01-05 10:00:00
5,5,5,POL100005,MARINE,EXPIRED,2023-01-06,2024-01-06,,,2024-01-06 10:00:00
6,6,6,POL100006,LIABILITY,CANCELLED,2023-01-07,2024-01-07,2023-07-06,Non-payment,2024-01-07 10:00:00
7,7,7,POL100007,WORKCOMP,ACTIVE,2023-01-08,2024-01-08,,,2024-01-08 10:00:00
8,8,8,POL100008,AUTO,EXPIRED,2023-01-09,2024-01-09,,,2024-01-09 10:00:00
9,9,9,POL100009,HOME,CANCELLED,2023-01-10,2024-01-10,2023-07-09,Non-payment,2024-01-10 10:00:00
10,10,10,POL100010,COMM,ACTIVE,2023-01-11,2024-01-11,,,2024-01-11 10:00:00
11,11,11,POL100011,FIRE,EXPIRED,2023-01-12,2024-01-12,,,2024-01-12 10:00:00
12,12,12,POL100012,MARINE,CANCELLED,2023-01-13,2024-01-13,2023-07-12,Underwriting Decision,2024-01-13 10:00:00
13,13,13,POL100013,LIABILITY,ACTIVE,2023-01-14,2024-01-14,,,2024-01-14 10:00:00
14,14,14,POL100014,WORKCOMP,EXPIRED,2023-01-15,2024-01-15,,,2024-01-15 10:00:00
15,15,15,POL100015,AUTO,CANCELLED,2023-01-16,2024-01-16,2023-07-15,Customer Request,2024-01-16 10:00:00
16,16,16,POL100016,HOME,ACTIVE,2023-01-17,2024-01-17,,,2024-01-17 10:00:00
17,17,17,POL100017,COMM,EXPIRED,2023-01-18,2024-01-18,,,2024-01-18 10:00:00
18,18,18,POL100018,FIRE,CANCELLED,2023-01-19,2024-01-19,2023-07-18,Non-payment,2024-01-19 10:00:00
19,19,19,POL100019,MARINE,ACTIVE,2023-01-20,2024-01-20,,,2024-01-20 10:00:00
20,20,20,POL100020,LIABILITY,EXPIRED,2023-01-21,2024-01-21,,,2024-01-21 10:00:00
21,21,21,POL100021,WORKCOMP,CANCELLED,2023-01-22,2024-01-22,2023-07-21,Non-payment,2024-01-22 10:00:00
22,22,22,POL100022,AUTO,ACTIVE,2023-01-23,2024-01-23,,,2024-01-23 10:00:00
23,23,23,POL100023,HOME,EXPIRED,2023-01-24,2024-01-24,,,2024-01-24 10:00:00
24,24,24,POL100024,COMM,CANCELLED,2023-01-25,2024-01-25,2023-07-24,Non-payment,2024-01-25 10:00:00
25,25,25,POL100025,FIRE,ACTIVE,2023-01-26,2024-01-26,,,2024-01-26 10:00:00
26,26,26,POL100026,MARINE,EXPIRED,2023-01-27,2024-01-27,,,2024-01-27 10:00:00
27,27,27,POL100027,LIABILITY,CANCELLED,2023-01-28,2024-01-28,2023-07-27,Underwriting Decision,2024-01-28 10:00:00
28,28,28,POL100028,WORKCOMP,ACTIVE,2023-01-29,2024-01-29,,,2024-01-29 10:00:00
29,29,29,POL100029,AUTO,EXPIRED,2023-01-30,2024-01-30,,,2024-01-30 10:00:00
30,30,30,POL100030,HOME,CANCELLED,2023-01-31,2024-01-31,2023-07-30,Non-payment,2024-01-31 10:00:00
31,31,31,POL100031,COMM,ACTIVE,2023-02-01,2024-02-01,,,2024-02-01 10:00:00
32,32,32,POL100032,FIRE,EXPIRED,2023-02-02,2024-02-02,,,2024-02-02 10:00:00
33,33,33,POL100033,MARINE,CANCELLED,2023-02-03,2024-02-03,2023-08-02,Underwriting Decision,2024-02-03 10:00:00
34,34,34,POL100034,LIABILITY,ACTIVE,2023-02-04,2024-02-04,,,2024-02-04 10:00:00
35,35,35,POL100035,WORKCOMP,EXPIRED,2023-02-05,2024-02-05,,,2024-02-05 10:00:00
36,36,36,POL100036,AUTO,CANCELLED,2023-02-06,2024-02-06,2023-08-05,Underwriting Decision,2024-02-06 10:00:00
37,37,37,POL100037,HOME,ACTIVE,2023-02-07,2024-02-07,,,2024-02-07 10:00:00
38,38,38,POL100038,COMM,EXPIRED,2023-02-08,2024-02-08,,,2024-02-08 10:00:00
39,39,39,POL100039,FIRE,CANCELLED,2023-02-09,2024-02-09,2023-08-08,Underwriting Decision,2024-02-09 10:00:00
40,40,40,POL100040,MARINE,ACTIVE,2023-02-10,2024-02-10,,,2024-02-10 10:00:00
41,41,41,POL100041,LIABILITY,EXPIRED,2023-02-11,2024-02-11,,,2024-02-11 10:00:00
42,42,42,POL100042,WORKCOMP,CANCELLED,2023-02-12,2024-02-12,2023-08-11,Non-payment,2024-02-12 10:00:00
43,43,43,POL100043,AUTO,ACTIVE,2023-02-13,2024-02-13,,,2024-02-13 10:00:00
44,44,44,POL100044,HOME,EXPIRED,2023-02-14,2024-02-14,,,2024-02-14 10:00:00
45,45,45,POL100045,COMM,CANCELLED,2023-02-15,2024-02-15,2023-08-14,Underwriting Decision,2024-02-15 10:00:00
46,46,46,POL100046,FIRE,ACTIVE,2023-02-16,2024-02-16,,,2024-02-16 10:00:00
47,47,47,POL100047,MARINE,EXPIRED,2023-02-17,2024-02-17,,,2024-02-17 10:00:00
48,48,48,POL100048,LIABILITY,CANCELLED,2023-02-18,2024-02-18,2023-08-17,Customer Request,2024-02-18 10:00:00
49,49,49,POL100049,WORKCOMP,ACTIVE,2023-02-19,2024-02-19,,,2024-02-19 10:00:00
50,50,50,POL100050,AUTO,EXPIRED,2023-02-20,2024-02-20,,,2024-02-20 10:00:00
