location_id,policy_period_id,location_number,address_line1,address_line2,city,state_code,zip_code,country_code,occupancy_type,building_value,contents_value
1,1,LOC000001,101 Main Street,,Chennai,TN,600002,IN,OWNER_OCCUPIED,12968822.57,173803.24
2,2,LOC000002,102 Main Street,,Bengaluru,KA,600003,US,TENANT_OCCUPIED,5863071.71,1154893.15
3,3,LOC000003,103 Main Street,Suite 4,Mumbai,MH,600004,IN,VACANT,14861188.68,3399662.46
4,4,LOC000004,104 Main Street,,Hyderabad,TS,600005,US,UNDER_CONSTRUCTION,17897501.57,480347.22
5,5,LOC000005,105 Main Street,,Vijayawada,AP,600006,IN,OWNER_OCCUPIED,8727475.48,197496.24
6,6,LOC000006,106 Main Street,Suite 7,Kochi,KL,600007,US,TENANT_OCCUPIED,4763440.51,2551508.68
7,7,LOC000007,107 Main Street,,Delhi,DL,600008,IN,VACANT,1017451.41,1034246.37
8,8,LOC000008,108 Main Street,,Ahmedabad,GJ,600009,US,UNDER_CONSTRUCTION,13172746.54,2747460.33
9,9,LOC000009,109 Main Street,Suite 10,Jaipur,RJ,600010,IN,OWNER_OCCUPIED,4798592.13,2966865.14
10,10,LOC000010,110 Main Street,,Kolkata,WB,600011,US,TENANT_OCCUPIED,16283893.91,82168.86
11,11,LOC000011,111 Main Street,,Chennai,TN,600012,IN,VACANT,16213475.41,3505790.01
12,12,LOC000012,112 Main Street,Suite 13,Bengaluru,KA,600013,US,UNDER_CONSTRUCTION,7134885.07,819623.52
13,13,LOC000013,113 Main Street,,Mumbai,MH,600014,IN,OWNER_OCCUPIED,19165654.91,1716143.0
14,14,LOC000014,114 Main Street,,Hyderabad,TS,600015,US,TENANT_OCCUPIED,2308543.95,528746.07
15,15,LOC000015,115 Main Street,Suite 16,Vijayawada,AP,600016,IN,VACANT,17026140.14,3038443.86
16,16,LOC000016,116 Main Street,,Kochi,KL,600017,US,UNDER_CONSTRUCTION,16239001.33,3662172.34
17,17,LOC000017,117 Main Street,,Delhi,DL,600018,IN,OWNER_OCCUPIED,10956447.78,4866923.03
18,18,LOC000018,118 Main Street,Suite 19,Ahmedabad,GJ,600019,US,TENANT_OCCUPIED,7881420.36,2782601.12
19,19,LOC000019,119 Main Street,,Jaipur,RJ,600020,IN,VACANT,16673390.95,3111672.77
20,20,LOC000020,120 Main Street,,Kolkata,WB,600021,US,UNDER_CONSTRUCTION,17303284.56,2907893.12
21,21,LOC000021,121 Main Street,Suite 22,Chennai,TN,600022,IN,OWNER_OCCUPIED,14239150.81,276830.7
22,22,LOC000022,122 Main Street,,Bengaluru,KA,600023,US,TENANT_OCCUPIED,4944016.38,1482470.42
23,23,LOC000023,123 Main Street,,Mumbai,MH,600024,IN,VACANT,2055943.55,1202314.89
24,24,LOC000024,124 Main Street,Suite 25,Hyderabad,TS,600025,US,UNDER_CONSTRUCTION,2469527.87,1425969.34
25,25,LOC000025,125 Main Street,,Vijayawada,AP,600026,IN,OWNER_OCCUPIED,12895846.66,1855919.29
26,26,LOC000026,126 Main Street,,Kochi,KL,600027,US,TENANT_OCCUPIED,7718528.86,1087059.8
27,27,LOC000027,127 Main Street,Suite 28,Delhi,DL,600028,IN,VACANT,5706067.53,4686440.21
28,28,LOC000028,128 Main Street,,Ahmedabad,GJ,600029,US,UNDER_CONSTRUCTION,13136690.01,3065198.48
29,29,LOC000029,129 Main Street,,Jaipur,RJ,600030,IN,OWNER_OCCUPIED,3837203.64,3659177.65
30,30,LOC000030,130 Main Street,Suite 31,Kolkata,WB,600031,US,TENANT_OCCUPIED,3686348.63,1928304.44
31,31,LOC000031,131 Main Street,,Chennai,TN,600032,IN,VACANT,19795705.34,3217998.81
32,32,LOC000032,132 Main Street,,Bengaluru,KA,600033,US,UNDER_CONSTRUCTION,11360520.0,3438840.54
33,33,LOC000033,133 Main Street,Suite 34,Mumbai,MH,600034,IN,OWNER_OCCUPIED,16935612.44,3891199.56
34,34,LOC000034,134 Main Street,,Hyderabad,TS,600035,US,TENANT_OCCUPIED,4966437.4,208896.21
35,35,LOC000035,135 Main Street,,Vijayawada,AP,600036,IN,VACANT,6651334.44,1375317.34
36,36,LOC000036,136 Main Street,Suite 37,Kochi,KL,600037,US,UNDER_CONSTRUCTION,4614165.45,4717403.09
37,37,LOC000037,137 Main Street,,Delhi,DL,600038,IN,OWNER_OCCUPIED,17589168.72,1607655.51
38,38,LOC000038,138 Main Street,,Ahmedabad,GJ,600039,US,TENANT_OCCUPIED,13281053.97,2008377.91
39,39,LOC000039,139 Main Street,Suite 40,Jaipur,RJ,600040,IN,VACANT,18333678.0,2321316.67
40,40,LOC000040,140 Main Street,,Kolkata,WB,600041,US,UNDER_CONSTRUCTION,5665163.25,1270806.16
41,41,LOC000041,141 Main Street,,Chennai,TN,600042,IN,OWNER_OCCUPIED,11446678.62,1350570.96
42,42,LOC000042,142 Main Street,Suite 43,Bengaluru,KA,600043,US,TENANT_OCCUPIED,11899426.81,4494223.27
43,43,LOC000043,143 Main Street,,Mumbai,MH,600044,IN,VACANT,8288309.85,1135637.76
44,44,LOC000044,144 Main Street,,Hyderabad,TS,600045,US,UNDER_CONSTRUCTION,19951983.33,2572155.15
45,45,LOC000045,145 Main Street,Suite 46,Vijayawada,AP,600046,IN,OWNER_OCCUPIED,2272733.54,283226.06
46,46,LOC000046,146 Main Street,,Kochi,KL,600047,US,TENANT_OCCUPIED,2638158.04,3155857.91
47,47,LOC000047,147 Main Street,,Delhi,DL,600048,IN,VACANT,15945547.61,2139691.84
48,48,LOC000048,148 Main Street,Suite 49,Ahmedabad,GJ,600049,US,UNDER_CONSTRUCTION,1738790.27,1939015.47
49,49,LOC000049,149 Main Street,,Jaipur,RJ,600050,IN,OWNER_OCCUPIED,19924366.91,2669116.01
50,50,LOC000050,150 Main Street,,Kolkata,WB,600051,US,TENANT_OCCUPIED,19436028.36,4310859.53
51,51,LOC000051,151 Main Street,Suite 2,Chennai,TN,600052,IN,VACANT,723879.93,3617573.01
52,52,LOC000052,152 Main Street,,Bengaluru,KA,600053,US,UNDER_CONSTRUCTION,13793352.2,2708003.14
53,53,LOC000053,153 Main Street,,Mumbai,MH,600054,IN,OWNER_OCCUPIED,5703091.2,3222760.9
54,54,LOC000054,154 Main Street,Suite 5,Hyderabad,TS,600055,US,TENANT_OCCUPIED,2675267.39,2202087.99
55,55,LOC000055,155 Main Street,,Vijayawada,AP,600056,IN,VACANT,9347612.27,4771388.84
56,56,LOC000056,156 Main Street,,Kochi,KL,600057,US,UNDER_CONSTRUCTION,17579132.34,1353775.8
57,57,LOC000057,157 Main Street,Suite 8,Delhi,DL,600058,IN,OWNER_OCCUPIED,10261429.2,934326.81
58,58,LOC000058,158 Main Street,,Ahmedabad,GJ,600059,US,TENANT_OCCUPIED,18296242.87,4359066.92
59,59,LOC000059,159 Main Street,,Jaipur,RJ,600060,IN,VACANT,6319673.43,3212800.0
60,60,LOC000060,160 Main Street,Suite 11,Kolkata,WB,600061,US,UNDER_CONSTRUCTION,12374919.12,806554.38
61,61,LOC000061,161 Main Street,,Chennai,TN,600062,IN,OWNER_OCCUPIED,15368960.6,2719926.2
62,62,LOC000062,162 Main Street,,Bengaluru,KA,600063,US,TENANT_OCCUPIED,15683216.33,2675250.68
63,63,LOC000063,163 Main Street,Suite 14,Mumbai,MH,600064,IN,VACANT,511151.97,1654572.48
64,64,LOC000064,164 Main Street,,Hyderabad,TS,600065,US,UNDER_CONSTRUCTION,879796.48,4649038.15
65,65,LOC000065,165 Main Street,,Vijayawada,AP,600066,IN,OWNER_OCCUPIED,17635076.62,4166744.37
66,66,LOC000066,166 Main Street,Suite 17,Kochi,KL,600067,US,TENANT_OCCUPIED,6496525.45,336729.57
67,67,LOC000067,167 Main Street,,Delhi,DL,600068,IN,VACANT,17621187.18,4737399.75
68,68,LOC000068,168 Main Street,,Ahmedabad,GJ,600069,US,UNDER_CONSTRUCTION,2170242.32,2455652.79
69,69,LOC000069,169 Main Street,Suite 20,Jaipur,RJ,600070,IN,OWNER_OCCUPIED,1849644.11,3814980.72
70,70,LOC000070,170 Main Street,,Kolkata,WB,600071,US,TENANT_OCCUPIED,15433771.37,685537.75
71,71,LOC000071,171 Main Street,,Chennai,TN,600072,IN,VACANT,9768006.37,2771527.79
72,72,LOC000072,172 Main Street,Suite 23,Bengaluru,KA,600073,US,UNDER_CONSTRUCTION,5668604.26,4368543.55
73,73,LOC000073,173 Main Street,,Mumbai,MH,600074,IN,OWNER_OCCUPIED,8751189.83,1098401.12
74,74,LOC000074,174 Main Street,,Hyderabad,TS,600075,US,TENANT_OCCUPIED,11016273.73,3663158.79
75,75,LOC000075,175 Main Street,Suite 26,Vijayawada,AP,600076,IN,VACANT,4422445.74,1592995.64
76,76,LOC000076,176 Main Street,,Kochi,KL,600077,US,UNDER_CONSTRUCTION,19905412.45,3266896.39
77,77,LOC000077,177 Main Street,,Delhi,DL,600078,IN,OWNER_OCCUPIED,9042951.64,2612000.41
78,78,LOC000078,178 Main Street,Suite 29,Ahmedabad,GJ,600079,US,TENANT_OCCUPIED,2859581.82,1162251.82
79,79,LOC000079,179 Main Street,,Jaipur,RJ,600080,IN,VACANT,7092668.46,2962128.16
80,80,LOC000080,180 Main Street,,Kolkata,WB,600081,US,UNDER_CONSTRUCTION,4987237.29,1140076.05
81,81,LOC000081,181 Main Street,Suite 32,Chennai,TN,600082,IN,OWNER_OCCUPIED,1884365.18,3173959.64
